Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
26_Aug_2024,US Open,Hard,QF,4,12,(12)Taylor Fritz [USA] d. (4)Zverev,7-6(2) 3-6 6-4 7-6(3),,0.87,9.70%,2.80%,71.00%,74.80%,47.60%,13-Nov,3:26
26_Aug_2024,US Open,Hard,R16,4,50,(4)Zverev d. Brandon Nakashima [USA],3-6 6-1 6-2 6-2,,2.1,17.70%,3.80%,70.90%,87.50%,56.50%,0/1,2:36
26_Aug_2024,US Open,Hard,R32,4,33,(4)Zverev d. Tomas Martin Etcheverry [ARG],5-7 7-5 6-1 6-3,,1.21,9.60%,4.80%,62.40%,74.40%,44.70%,15-Nov,3:36
26_Aug_2024,US Open,Hard,R64,4,77,(4)Zverev d. (WC)Alexandre Muller [FRA],6-4 7-6(5) 6-1,,1.57,17.40%,2.30%,64.00%,83.60%,54.80%,2-Jan,2:26
26_Aug_2024,US Open,Hard,R128,4,100,(4)Zverev d. (LL)Maximilian Marterer [GER],6-2 6-7(5) 6-3 6-2,,1.47,18.30%,5.20%,59.10%,79.40%,57.40%,7-Jun,2:53
12_Aug_2024,Cincinnati Masters,Hard,SF,4,1,(1)Jannik Sinner [ITA] d. (3)Zverev,7-6(9) 5-7 7-6(4), (ch),0.93,11.80%,3.90%,64.60%,72.00%,53.30%,4-Feb,3:07
12_Aug_2024,Cincinnati Masters,Hard,QF,4,14,(3)Zverev d. (12)Ben Shelton [USA],3-6 7-6(3) 7-5, (ch),1.36,11.20%,9.00%,60.70%,81.50%,68.60%,4-Mar,2:29
12_Aug_2024,Cincinnati Masters,Hard,R16,4,513,(3)Zverev d. (PR)Pablo Carreno Busta [ESP],7-5 7-6(6),,1.31,10.70%,4.00%,56.00%,71.40%,66.70%,5-Mar,2:03
12_Aug_2024,Cincinnati Masters,Hard,R32,4,22,(3)Zverev d. Karen Khachanov [RUS],6-3 6-2,,1.47,12.50%,3.60%,66.10%,83.80%,36.80%,4-Mar,1:21
5_Aug_2024,Canada Masters,Hard,QF,4,18,Sebastian Korda [USA] d. (2)Zverev,7-6(5) 1-6 6-4, (ch),1.08,5.10%,11.20%,66.30%,78.50%,33.30%,9-Jul,2:18
5_Aug_2024,Canada Masters,Hard,R16,4,17,(2)Zverev d. (13)Holger Rune [DEN],6-3 7-6(5),,1.41,13.60%,3.40%,66.10%,76.90%,65.00%,3-Feb,1:43
5_Aug_2024,Canada Masters,Hard,R32,4,30,(2)Zverev d. Jordan Thompson [AUS],6-1 6-1, (ch),2.63,16.70%,5.60%,47.20%,94.10%,63.20%,0/0,1:03
29_Jul_2024,Paris Olympics,Clay,QF,4,16,(11)Lorenzo Musetti [ITA] d. (3)Zverev,7-5 7-5, (ch),1.15,5.90%,5.90%,63.20%,74.40%,84.00%,4-Jan,
29_Jul_2024,Paris Olympics,Clay,R16,4,63,(3)Zverev d. Alexei Popyrin [AUS],7-5 6-3,,2.14,15.70%,2.00%,98.00%,82.00%,0.00%,0/1,
29_Jul_2024,Paris Olympics,Clay,R32,4,39,(3)Zverev d. Tomas Machac [CZE],6-3 7-5,,1.68,0.00%,0.00%,91.20%,71.20%,60.00%,0/2,
29_Jul_2024,Paris Olympics,Clay,R64,4,72,(3)Zverev d. Jaume Munar [ESP],6-2 6-2,,2.09,17.40%,0.00%,67.40%,80.60%,66.70%,1-Jan,
15_Jul_2024,Hamburg,Clay,F,4,28,(5)Arthur Fils [FRA] d. (1)Zverev,6-3 3-6 7-6(1), (ch),1.02,7.20%,1.80%,66.70%,66.20%,54.10%,4-Mar,3:33
15_Jul_2024,Hamburg,Clay,SF,4,49,(1)Zverev d. Pedro Martinez [ESP],6-2 6-4,,1.9,25.50%,5.90%,68.60%,88.60%,50.00%,1-Jan,1:24
15_Jul_2024,Hamburg,Clay,QF,4,34,(1)Zverev d. (8)Zhizhen Zhang [CHN],6-4 6-3, (ch),1.85,22.20%,4.40%,73.30%,87.90%,58.30%,0/0,1:06
15_Jul_2024,Hamburg,Clay,R16,4,81,(1)Zverev d. Hugo Gaston [FRA],4-6 6-2 7-5,,1.21,7.50%,0.90%,67.30%,75.00%,37.10%,15-Nov,2:37
15_Jul_2024,Hamburg,Clay,R32,4,114,(1)Zverev d. (Q)Jesper De Jong [NED],6-2 6-2,,1.78,8.30%,2.10%,68.80%,78.80%,60.00%,0/0,1:17
1_Jul_2024,Wimbledon,Grass,R16,4,12,(13)Taylor Fritz [USA] d. (4)Zverev,4-6 6-7(4) 6-4 7-6(3) 6-3,,0.76,12.40%,2.00%,75.20%,80.00%,47.40%,4-Feb,3:29
1_Jul_2024,Wimbledon,Grass,R32,4,42,(4)Zverev d. Cameron Norrie [GBR],6-4 6-4 7-6(15),,2.02,15.60%,2.10%,76.00%,90.40%,65.20%,0/0,2:31
1_Jul_2024,Wimbledon,Grass,R64,4,46,(4)Zverev d. Marcos Giron [USA],6-2 6-1 6-4,,2.44,19.70%,3.30%,67.20%,87.80%,65.00%,0/0,1:34
1_Jul_2024,Wimbledon,Grass,R128,4,64,(4)Zverev d. Roberto Carballes Baena [ESP],6-2 6-4 6-2,,2.23,26.10%,2.90%,73.90%,86.30%,61.10%,5-May,1:53
17_Jun_2024,Halle,Grass,SF,4,9,(5)Hubert Hurkacz [POL] d. (2)Zverev,7-6(2) 6-4, (ch),1.05,8.10%,0.00%,67.70%,85.70%,55.00%,0/1,1:35
17_Jun_2024,Halle,Grass,QF,4,37,(2)Zverev d. Arthur Fils [FRA],6-7(5) 6-3 6-4, (ch),1.26,8.40%,1.10%,69.50%,83.30%,55.20%,1-Jan,2:30
17_Jun_2024,Halle,Grass,R16,4,57,(2)Zverev d. Lorenzo Sonego [ITA],6-4 7-6(5), (ch),2.36,12.50%,1.80%,78.60%,86.40%,83.30%,0/0,1:43
17_Jun_2024,Halle,Grass,R32,4,474,(2)Zverev d. (Q)Oscar Otte [GER],6-7(5) 6-3 6-4,,1.16,26.20%,1.90%,68.20%,79.50%,55.90%,3-Mar,2:17
27_May_2024,Roland Garros,Clay,F,4,3,(3)Carlos Alcaraz [ESP] d. (4)Zverev,6-3 2-6 5-7 6-1 6-2, (ch),0.92,6.00%,4.50%,72.90%,62.90%,33.30%,16-Jul,
27_May_2024,Roland Garros,Clay,SF,4,7,(4)Zverev d. (7)Casper Ruud [NOR],2-6 6-2 6-4 6-2, (ch),1.66,23.20%,4.90%,68.30%,85.70%,53.80%,3-Jan,
27_May_2024,Roland Garros,Clay,QF,4,11,(4)Zverev d. (11)Alex De Minaur [AUS],6-4 7-6(5) 6-4,,1.04,1.80%,4.50%,69.10%,69.70%,44.10%,8-May,
27_May_2024,Roland Garros,Clay,R16,4,13,(4)Zverev d. (13)Holger Rune [DEN],4-6 6-1 5-7 7-6(2) 6-2, (ch),1.28,11.70%,2.20%,70.10%,77.10%,41.50%,10-Apr,
27_May_2024,Roland Garros,Clay,R32,4,25,(4)Zverev d. (26)Tallon Griekspoor [NED],3-6 6-4 6-2 4-6 7-6(3), (ch),1.15,7.20%,3.30%,75.20%,69.60%,55.30%,10-Jun,
27_May_2024,Roland Garros,Clay,R64,4,115,(4)Zverev d. David Goffin [BEL],7-6(4) 6-2 6-2,,1.61,9.80%,3.70%,72.00%,78.00%,65.20%,2-Feb,
27_May_2024,Roland Garros,Clay,R128,4,275,(4)Zverev d. Rafael Nadal [ESP],6-3 7-6(5) 6-3, (ch),1.35,8.60%,3.20%,77.40%,72.20%,47.60%,11-Sep,
6_May_2024,Rome Masters,Clay,F,5,24,(3)Zverev d. (21)Nicolas Jarry [CHI],6-4 7-5, (ch),3.54,12.20%,2.00%,79.60%,94.90%,70.00%,0/0,1:41
6_May_2024,Rome Masters,Clay,SF,5,32,(3)Zverev d. (29)Alejandro Tabilo [CHI],1-6 7-6(4) 6-2, (ch),0.98,12.30%,6.20%,69.10%,80.40%,36.00%,4-Feb,2:17
6_May_2024,Rome Masters,Clay,QF,5,13,(3)Zverev d. (11)Taylor Fritz [USA],6-4 6-3, (ch),1.53,12.50%,2.10%,77.10%,78.40%,63.60%,0/0,1:30
6_May_2024,Rome Masters,Clay,R16,5,53,(3)Zverev d. Nuno Borges [POR],6-2 7-5,,1.61,16.70%,5.60%,70.40%,81.60%,50.00%,2-Jan,1:26
6_May_2024,Rome Masters,Clay,R32,5,54,(3)Zverev d. Luciano Darderi [ITA],7-6(3) 6-2,,1.3,17.90%,1.50%,73.10%,83.70%,44.40%,1-Jan,1:48
6_May_2024,Rome Masters,Clay,R64,5,70,(3)Zverev d. Aleksandar Vukic [AUS],6-0 6-4,,1.85,17.40%,4.30%,65.20%,80.00%,62.50%,2-Feb,1:19
22_Apr_2024,Madrid Masters,Clay,R16,5,22,(21)Francisco Cerundolo [ARG] d. (4)Zverev,6-3 6-4,,0.84,2.00%,0.00%,78.40%,70.00%,45.50%,3-Jan,1:29
22_Apr_2024,Madrid Masters,Clay,R32,5,132,(4)Zverev d. (PR)Denis Shapovalov [CAN],6-4 7-5,,1.7,16.70%,1.70%,78.30%,78.70%,53.80%,2-Jan,1:44
22_Apr_2024,Madrid Masters,Clay,R64,5,34,(4)Zverev d. Borna Coric [CRO],6-3 6-2,,1.86,11.60%,2.30%,74.40%,81.30%,54.50%,0/0,1:26
15_Apr_2024,Munich,Clay,QF,5,106,Cristian Garin [CHI] d. (1)Zverev,6-4 6-4,,0.78,3.90%,1.30%,75.00%,63.20%,52.60%,6-Apr,2:00
15_Apr_2024,Munich,Clay,R16,5,118,(1)Zverev d. Jurij Rodionov [AUT],7-6(3) 6-2,,1.35,1.50%,0.00%,75.00%,76.50%,58.80%,4-Apr,1:40
8_Apr_2024,Monte Carlo Masters,Clay,R16,5,12,(12)Stefanos Tsitsipas [GRE] d. (5)Zverev,7-5 7-6(3), (ch),0.92,12.70%,3.80%,75.90%,63.30%,57.90%,8-May,2:06
8_Apr_2024,Monte Carlo Masters,Clay,R32,5,44,(5)Zverev d. Sebastian Ofner [AUT],6-3 6-4,,1.96,2.00%,0.00%,69.40%,79.40%,73.30%,2-Jan,1:18
18_Mar_2024,Miami Masters,Hard,SF,5,12,(11)Grigor Dimitrov [BUL] d. (4)Zverev,6-4 6-7(4) 6-4, (ch),0.86,15.20%,1.10%,75.00%,78.30%,43.50%,0/2,2:37
18_Mar_2024,Miami Masters,Hard,QF,5,57,(4)Zverev d. Fabian Marozsan [HUN],6-3 7-5, (ch),1.32,9.70%,0.00%,74.20%,80.40%,43.80%,2-Feb,1:37
18_Mar_2024,Miami Masters,Hard,R16,5,16,(4)Zverev d. (15)Karen Khachanov [RUS],6-1 6-4, (ch),2.2,20.00%,0.00%,73.30%,78.80%,83.30%,0/0,1:09
18_Mar_2024,Miami Masters,Hard,R32,5,32,(4)Zverev d. (31)Christopher Eubanks [USA],7-6(4) 6-3, (ch),1.25,10.80%,0.00%,78.40%,69.00%,81.30%,5-Apr,1:44
18_Mar_2024,Miami Masters,Hard,R64,5,36,(4)Zverev d. Felix Auger Aliassime [CAN],6-2 6-4, (ch),7.37,5.30%,0.00%,73.70%,92.90%,100.00%,0/0,1:16
4_Mar_2024,Indian Wells Masters,Hard,QF,6,2,(2)Carlos Alcaraz [ESP] d. (6)Zverev,6-3 6-1, (ch),0.31,4.80%,3.20%,77.80%,51.00%,50.00%,5-Jan,1:29
4_Mar_2024,Indian Wells Masters,Hard,R16,6,10,(6)Zverev d. (10)Alex De Minaur [AUS],5-7 6-2 6-3, (ch),1.08,6.10%,2.60%,67.00%,68.80%,44.70%,11-Aug,2:47
4_Mar_2024,Indian Wells Masters,Hard,R32,6,27,(6)Zverev d. (27)Tallon Griekspoor [NED],7-6(7) 6-3, (ch),1.21,11.90%,1.50%,76.10%,76.50%,43.80%,3-Feb,1:43
4_Mar_2024,Indian Wells Masters,Hard,R64,6,66,(6)Zverev d. Christopher Oconnell [AUS],6-4 6-4,,1.39,4.60%,4.60%,56.90%,75.70%,60.70%,6-May,1:56
26_Feb_2024,Acapulco,Hard,R32,6,57,Daniel Altmaier [GER] d. (1)Zverev,6-3 3-6 6-3,,1.21,11.80%,5.90%,67.60%,76.10%,59.10%,3-Jan,2:26
19_Feb_2024,Los Cabos,Hard,SF,6,40,(8)Jordan Thompson [AUS] d. (1)Zverev,7-5 4-6 7-6(2),,0.95,4.20%,0.80%,73.10%,60.90%,53.10%,12-Sep,3:40
19_Feb_2024,Los Cabos,Hard,QF,6,103,(1)Zverev d. Thanasi Kokkinakis [AUS],6-3 6-4,,1.07,4.90%,3.70%,63.40%,75.00%,46.70%,12-Dec,1:58
19_Feb_2024,Los Cabos,Hard,R16,6,84,(1)Zverev d. Yoshihito Nishioka [JPN],6-3 6-0,,2.36,25.60%,0.00%,74.40%,75.90%,80.00%,3-Mar,1:00
15_Jan_2024,Australian Open,Hard,SF,6,3,(3)Daniil Medvedev [RUS] d. (6)Zverev,5-7 3-6 7-6(4) 7-6(5) 6-3, (ch),0.99,8.20%,0.60%,77.60%,71.20%,57.90%,14-Oct,4:18
15_Jan_2024,Australian Open,Hard,QF,6,2,(6)Zverev d. (2)Carlos Alcaraz [ESP],6-1 6-3 6-7(2) 6-4,,1.34,6.30%,0.90%,84.70%,73.40%,47.10%,5-Mar,3:05
15_Jan_2024,Australian Open,Hard,R16,6,22,(6)Zverev d. (19)Cameron Norrie [GBR],7-5 3-6 6-3 4-6 7-6(3), (ch),1.19,10.00%,4.00%,76.00%,76.30%,44.40%,10-Jun,4:05
15_Jan_2024,Australian Open,Hard,R32,6,91,(6)Zverev d. Alex Michelsen [USA],6-2 7-6(4) 6-2,,1.77,13.60%,1.20%,71.60%,79.30%,65.20%,0/1,1:59
15_Jan_2024,Australian Open,Hard,R64,6,163,(6)Zverev d. (Q)Lukas Klein [SVK],7-5 3-6 4-6 7-6(5) 7-6(7),,1.07,11.70%,1.10%,74.90%,78.40%,40.00%,10-Jul,4:31
15_Jan_2024,Australian Open,Hard,R128,6,62,(6)Zverev d. Dominik Koepfer [GER],4-6 6-3 7-6(3) 6-3,,1.25,14.50%,1.50%,71.80%,77.70%,59.50%,9-Aug,3:12
1_Jan_2024,United Cup,Hard,F,7,9,Zverev d. Hubert Hurkacz [POL],6-7(3) 7-6(6) 6-4, (ch),1.53,8.30%,1.00%,75.00%,86.10%,58.30%,0/0,2:59
1_Jan_2024,United Cup,Hard,SF,7,12,Alex De Minaur [AUS] d. Zverev,5-7 6-3 6-4,,0.99,12.00%,0.00%,68.70%,73.70%,57.70%,4-Feb,2:40
1_Jan_2024,United Cup,Hard,QF,7,6,Zverev d. Stefanos Tsitsipas [GRE],6-4 6-4,,1.5,8.90%,0.00%,80.40%,75.60%,72.70%,2-Feb,1:36
1_Jan_2024,United Cup,Hard,RR,7,22,Zverev d. Adrian Mannarino [FRA],4-6 6-4 6-3,,1.04,12.10%,1.10%,73.60%,70.10%,66.70%,5-Apr,2:25
1_Jan_2024,United Cup,Hard,RR,7,46,Zverev d. Lorenzo Sonego [ITA],6-7(5) 6-3 6-4,,1.79,8.00%,1.10%,73.60%,81.30%,73.90%,0/0,2:52
13_Nov_2023,Tour Finals,Hard,RR,7,2,(7)Zverev d. (2)Carlos Alcaraz [ESP],6-7(3) 6-3 6-4, (ch),1.17,16.50%,2.10%,77.30%,78.70%,50.00%,6-May,2:31
13_Nov_2023,Tour Finals,Hard,RR,7,3,(3)Daniil Medvedev [RUS] d. (7)Zverev,7-6(7) 6-4, (ch),0.83,13.40%,0.00%,76.10%,66.70%,62.50%,0/2,1:45
13_Nov_2023,Tour Finals,Hard,RR,7,5,(7)Zverev d. (5)Andrey Rublev [RUS],6-4 6-4, (ch),1.24,15.20%,1.50%,71.20%,70.20%,57.90%,4-Mar,1:41
30_Oct_2023,Paris Masters,Hard,R16,9,6,(7)Stefanos Tsitsipas [GRE] d. (10)Zverev,7-6(2) 6-4,,0.8,6.50%,0.00%,75.30%,67.20%,42.10%,6-Apr,1:59
30_Oct_2023,Paris Masters,Hard,R32,9,26,(10)Zverev d. Ugo Humbert [FRA],6-4 6-7(3) 7-6(5),,0.99,8.30%,1.50%,75.80%,70.00%,53.10%,13-Nov,3:29
30_Oct_2023,Paris Masters,Hard,R64,9,52,(10)Zverev d. (Q)Marton Fucsovics [HUN],4-6 7-5 6-4,,1.17,6.20%,2.50%,74.10%,70.00%,71.40%,3-Jan,2:37
23_Oct_2023,Vienna,Hard,QF,10,5,(3)Andrey Rublev [RUS] d. (5)Zverev,6-1 6-7(5) 6-3, (ch),0.96,13.30%,1.10%,72.20%,73.80%,44.00%,10-Jul,2:30
23_Oct_2023,Vienna,Hard,R16,10,18,(5)Zverev d. Cameron Norrie [GBR],6-2 6-4,,1.39,16.40%,0.00%,81.80%,80.00%,30.00%,5-May,1:19
23_Oct_2023,Vienna,Hard,R32,10,44,(5)Zverev d. (WC)Sebastian Ofner [AUT],6-4 6-1,,1.85,9.30%,7.00%,60.50%,88.50%,52.90%,0/0,1:18
16_Oct_2023,Tokyo,Hard,R32,9,60,Jordan Thompson [AUS] d. (3)Zverev,6-3 6-4,,0.93,3.80%,5.70%,66.00%,62.90%,61.10%,6-Mar,1:35
2_Oct_2023,Shanghai Masters,Hard,R64,10,50,Roman Safiullin [RUS] d. (9)Zverev,6-3 6-1,,0.52,12.70%,0.00%,76.40%,47.60%,61.50%,6-Feb,1:14
27_Sep_2023,Beijing,Hard,SF,10,3,(2)Daniil Medvedev [RUS] d. (8)Zverev,6-4 6-3, (ch),0.65,2.00%,2.00%,74.50%,71.10%,46.20%,4-Feb,1:25
27_Sep_2023,Beijing,Hard,QF,10,23,(8)Zverev d. Nicolas Jarry [CHI],6-1 6-7(5) 6-3,,1.26,13.30%,1.00%,84.70%,77.10%,46.70%,1-Jan,2:18
27_Sep_2023,Beijing,Hard,R16,10,25,(8)Zverev d. Alejandro Davidovich Fokina [ESP],6-7(4) 6-2 6-1,,1.3,10.00%,1.10%,76.70%,60.90%,61.90%,6-Mar,2:34
27_Sep_2023,Beijing,Hard,R32,10,133,(8)Zverev d. Diego Schwartzman [ARG],6-7(2) 6-1 6-4,,1.24,8.10%,2.30%,76.70%,71.20%,50.00%,3-Jan,2:26
20_Sep_2023,Chengdu,Hard,F,10,55,(1)Zverev d. Roman Safiullin [RUS],6-7(2) 7-6(5) 6-3, (ch),1.13,9.40%,0.90%,76.40%,76.50%,52.00%,2-Jan,2:56
20_Sep_2023,Chengdu,Hard,SF,10,20,(1)Zverev d. (3)Grigor Dimitrov [BUL],6-3 7-6(2),,1.45,13.60%,0.00%,86.40%,77.20%,66.70%,5-May,1:50
20_Sep_2023,Chengdu,Hard,QF,10,47,(1)Zverev d. (7)Miomir Kecmanovic [SRB],5-7 7-5 6-2,,1.25,12.60%,2.90%,78.60%,67.90%,54.50%,10-Jul,2:58
20_Sep_2023,Chengdu,Hard,R16,10,106,(1)Zverev d. (Q)Pavel Kotov [RUS],7-6(5) 4-6 6-1,,1.45,10.00%,2.50%,62.50%,86.00%,56.70%,2-Jan,2:25
28_Aug_2023,US Open,Hard,QF,12,1,(1)Carlos Alcaraz [ESP] d. (12)Zverev,6-3 6-2 6-4, (ch),0.77,7.80%,5.20%,67.50%,73.10%,28.00%,0/4,2:30
28_Aug_2023,US Open,Hard,R16,12,6,(12)Zverev d. (6)Jannik Sinner [ITA],6-4 3-6 6-2 4-6 6-3, (ch),1.1,9.90%,3.70%,69.80%,69.90%,49.00%,12-Aug,4:41
28_Aug_2023,US Open,Hard,R32,12,19,(12)Zverev d. (19)Grigor Dimitrov [BUL],6-7(2) 7-6(8) 6-1 6-1,,1.37,12.30%,0.80%,69.70%,70.60%,70.30%,5-Mar,3:42
28_Aug_2023,US Open,Hard,R64,12,53,(12)Zverev d. Daniel Altmaier [GER],7-6(1) 3-6 6-4 6-3,,1.29,6.10%,6.10%,69.30%,69.60%,54.30%,8-Mar,3:43
28_Aug_2023,US Open,Hard,R128,12,50,(12)Zverev d. Aleksandar Vukic [AUS],6-4 6-4 6-4,,1.46,14.90%,4.60%,66.70%,86.20%,41.40%,2-Jan,2:09
14_Aug_2023,Cincinnati Masters,Hard,SF,17,2,(2)Novak Djokovic [SRB] d. (16)Zverev,7-6(5) 7-5, (ch),0.88,12.50%,3.80%,68.80%,80.00%,40.00%,6-Apr,2:04
14_Aug_2023,Cincinnati Masters,Hard,QF,17,32,(16)Zverev d. Adrian Mannarino [FRA],6-2 6-3,,1.86,4.30%,4.30%,72.30%,85.30%,53.80%,0/0,1:12
14_Aug_2023,Cincinnati Masters,Hard,R16,17,3,(16)Zverev d. (3)Daniil Medvedev [RUS],6-4 5-7 6-4, (ch),0.92,3.70%,2.80%,69.40%,66.70%,57.60%,8-Jun,2:32
14_Aug_2023,Cincinnati Masters,Hard,R32,17,45,(16)Zverev d. Yoshihito Nishioka [JPN],7-5 6-4,,1.17,12.80%,7.70%,62.80%,71.40%,55.20%,6-May,1:56
14_Aug_2023,Cincinnati Masters,Hard,R64,17,19,(16)Zverev d. Grigor Dimitrov [BUL],6-2 6-2,,1.68,16.70%,2.10%,66.70%,71.90%,68.80%,2-Feb,1:11
7_Aug_2023,Canada Masters,Hard,R32,16,37,Alejandro Davidovich Fokina [ESP] d. (13)Zverev,6-1 6-2, (ch),0.44,13.90%,16.70%,50.00%,61.10%,16.70%,0/4,1:00
7_Aug_2023,Canada Masters,Hard,R64,16,26,(13)Zverev d. Tallon Griekspoor [NED],6-4 7-6(3),,1.59,18.50%,0.00%,73.80%,81.30%,70.60%,1-Jan,1:43
24_Jul_2023,Hamburg,Clay,F,19,57,(4)Zverev d. Laslo Djere [SRB],7-5 6-3, (ch),1.27,4.40%,2.90%,64.70%,77.30%,54.20%,5-Apr,1:50
24_Jul_2023,Hamburg,Clay,SF,19,71,(4)Zverev d. Arthur Fils [FRA],6-2 6-4, (ch),1.23,10.60%,3.00%,77.30%,72.50%,46.70%,3-Mar,1:31
24_Jul_2023,Hamburg,Clay,QF,19,77,(4)Zverev d. Luca Van Assche [FRA],6-3 6-4,,2.14,16.70%,2.10%,72.90%,80.00%,76.90%,0/1,1:29
24_Jul_2023,Hamburg,Clay,R16,19,144,(4)Zverev d. (WC)Maximilian Marterer [GER],6-3 7-5,,1.6,3.80%,3.80%,75.00%,89.70%,30.80%,3-Feb,1:17
24_Jul_2023,Hamburg,Clay,R32,19,118,(4)Zverev d. Alex Molcan [SVK],6-0 6-3,,1.92,6.80%,0.00%,81.80%,72.20%,75.00%,0/0,1:01
17_Jul_2023,Bastad,Clay,QF,19,7,(2)Andrey Rublev [RUS] d. (5)Zverev,6-2 6-3,,0.72,2.60%,7.70%,59.00%,78.30%,31.30%,5-Feb,1:07
17_Jul_2023,Bastad,Clay,R16,19,122,(5)Zverev d. Thiago Monteiro [BRA],6-1 6-0,,2.52,7.30%,2.40%,80.50%,78.80%,50.00%,2-Feb,1:00
17_Jul_2023,Bastad,Clay,R32,19,81,(5)Zverev d. Alex Molcan [SVK],6-4 3-6 7-5,,1.14,5.60%,5.60%,73.30%,75.80%,33.30%,6-Mar,2:25
3_Jul_2023,Wimbledon,Grass,R32,21,38,Matteo Berrettini [ITA] d. (19)Zverev,6-3 7-6(4) 7-6(5),,1.21,13.50%,1.10%,80.90%,81.90%,64.70%,5-Apr,2:27
3_Jul_2023,Wimbledon,Grass,R64,21,116,(19)Zverev d. (LL)Yosuke Watanuki [JPN],6-4 5-7 6-2 6-2,,1.45,13.00%,4.00%,68.00%,83.80%,59.40%,5-Apr,2:26
3_Jul_2023,Wimbledon,Grass,R128,21,153,(19)Zverev d. (Q)Gijs Brouwer [NED],6-4 7-6(4) 7-6(5),,1.16,18.00%,2.70%,68.50%,78.90%,62.90%,4-Apr,2:15
19_Jun_2023,Halle,Grass,SF,22,48,Alexander Bublik [KAZ] d. (9)Zverev,6-3 7-5, (ch),0.68,16.40%,3.60%,70.90%,74.40%,43.80%,5-Mar,1:27
19_Jun_2023,Halle,Grass,QF,22,28,(9)Zverev d. Nicolas Jarry [CHI],7-5 6-3,,0.98,13.80%,5.70%,66.70%,74.10%,44.80%,4-Apr,1:57
19_Jun_2023,Halle,Grass,R16,22,27,(9)Zverev d. Denis Shapovalov [CAN],6-2 6-4,,1.59,13.20%,5.70%,64.20%,82.40%,57.90%,0/0,1:15
19_Jun_2023,Halle,Grass,R32,22,89,(9)Zverev d. (WC)Dominic Thiem [AUT],6-3 6-4,,1.66,12.70%,0.00%,61.80%,85.30%,61.90%,1-Jan,1:18
29_May_2023,Roland Garros,Clay,SF,27,4,(4)Casper Ruud [NOR] d. (22)Zverev,6-3 6-4 6-0, (ch),0.75,4.30%,2.90%,68.10%,55.30%,45.50%,10-Apr,2:09
29_May_2023,Roland Garros,Clay,QF,27,49,(22)Zverev d. Tomas Martin Etcheverry [ARG],6-4 3-6 6-3 6-4, (ch),1.1,6.00%,7.80%,67.20%,75.60%,39.50%,9-Jun,3:22
