Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
29_Jul_2024,Paris Olympics,Clay,R64,149,64,(ITF)Wawrinka d. Pavel Kotov [RUS],6-1 6-1,,3.2,11.80%,0.00%,52.90%,88.90%,75.00%,0/0,
15_Jul_2024,Gstaad,Clay,R32,105,118,Lukas Klein [SVK] d. (8)Wawrinka,7-6(4) 2-6 7-5,,0.89,7.10%,7.10%,51.00%,86.00%,56.30%,4-Mar,2:01
1_Jul_2024,Wimbledon,Grass,R64,95,33,Gael Monfils [FRA] d. Wawrinka,7-6(5) 6-4 7-6(3),,0.68,4.80%,0.00%,57.10%,73.30%,66.70%,10-Sep,2:03
1_Jul_2024,Wimbledon,Grass,R128,95,248,Wawrinka d. (WC)Charles Broom [GBR],6-3 7-5 6-4, (ch),1.18,11.20%,1.00%,57.10%,76.80%,52.40%,6-Apr,1:49
27_May_2024,Roland Garros,Clay,R64,98,56,Pavel Kotov [RUS] d. Wawrinka,7-6(5) 6-4 1-6 7-6(5),,0.97,2.40%,0.00%,54.30%,68.10%,58.60%,7-Mar,
27_May_2024,Roland Garros,Clay,R128,98,75,Wawrinka d. Andy Murray [GBR],6-4 6-4 6-2, (ch),1.22,3.40%,2.20%,53.90%,79.20%,56.10%,2-Feb,
13_May_2024,Bordeaux CH,Clay,R16,87,51,(2)Pedro Martinez [ESP] d. Wawrinka,6-4 6-4,,0.71,11.10%,2.80%,65.30%,66.00%,40.00%,9-Jun,1:23
13_May_2024,Bordeaux CH,Clay,R32,87,178,Wawrinka d. (Q)Bernabe Zapata Miralles [ESP],7-5 6-3,,1.09,8.50%,4.20%,52.10%,73.00%,50.00%,6-Apr,1:28
29_Apr_2024,Aix En Provence CH,Clay,R32,87,105,(Alt)Albert Ramos [ESP] d. (WC)Wawrinka,6-3 6-7(3) 6-4,,0.88,6.20%,2.70%,61.10%,62.30%,56.80%,11-Jul,2:47
15_Apr_2024,Bucharest,Clay,R32,86,55,(7)Nuno Borges [POR] d. Wawrinka,3-6 7-5 6-2,,0.84,2.40%,1.20%,49.40%,71.40%,60.50%,5-Feb,2:09
8_Apr_2024,Monte Carlo Masters,Clay,R64,79,11,(11)Alex De Minaur [AUS] d. (WC)Wawrinka,6-3 6-0, (ch),0.63,0.00%,5.60%,63.00%,47.10%,35.00%,12-Jun,1:02
1_Apr_2024,Marrakech,Clay,R16,82,60,(7)Mariano Navone [ARG] d. Wawrinka,3-6 7-5 6-2,,0.74,2.90%,4.90%,60.80%,75.80%,30.00%,6-Feb,2:18
1_Apr_2024,Marrakech,Clay,R32,82,103,Wawrinka d. Albert Ramos [ESP],6-1 6-4,,1.36,14.00%,1.80%,57.90%,87.90%,33.30%,5-Apr,1:15
4_Mar_2024,Indian Wells Masters,Hard,R128,70,63,Tomas Machac [CZE] d. Wawrinka,7-6(3) 4-6 6-2,,0.83,3.30%,2.20%,55.40%,68.60%,41.50%,7-Feb,2:05
19_Feb_2024,Rio De Janeiro,Clay,R32,67,59,Facundo Diaz Acosta [ARG] d. Wawrinka,7-5 6-4,,0.92,2.80%,7.00%,53.50%,71.10%,42.40%,9-May,1:54
12_Feb_2024,Buenos Aires,Clay,R16,60,21,(3)Nicolas Jarry [CHI] d. Wawrinka,6-7(3) 6-2 7-6(5),,0.86,7.80%,2.90%,52.90%,74.10%,52.10%,8-Apr,2:51
12_Feb_2024,Buenos Aires,Clay,R32,60,74,Wawrinka d. Pedro Cachin [ARG],6-7(4) 6-1 6-2,,1.35,11.20%,3.40%,52.80%,83.00%,52.40%,5-May,2:21
15_Jan_2024,Australian Open,Hard,R128,56,19,(20)Adrian Mannarino [FRA] d. Wawrinka,6-4 3-6 5-7 6-3 6-0, (ch),0.79,10.10%,0.00%,50.70%,74.30%,44.10%,13-Jun,3:36
6_Nov_2023,Metz,Hard,R16,53,70,Luca Van Assche [FRA] d. (8)Wawrinka,3-6 7-6(6) 0-0 RET,,1.16,11.90%,3.00%,55.20%,86.50%,53.30%,3-Feb,1:43
6_Nov_2023,Metz,Hard,R32,53,81,(8)Wawrinka d. Bernabe Zapata Miralles [ESP],6-0 6-2,,2.87,8.60%,2.90%,57.10%,80.00%,80.00%,0/0,0:51
30_Oct_2023,Paris Masters,Hard,R64,51,108,(Q)Dominic Thiem [AUT] d. Wawrinka,3-6 6-3 7-5, (ch),1,11.90%,7.10%,54.80%,78.30%,44.70%,5-Jan,2:31
23_Oct_2023,Basel,Hard,R32,45,83,(Q)Alexander Shevchenko [KAZ] d. Wawrinka,6-3 7-6(8),,0.88,14.50%,0.00%,64.50%,67.30%,55.60%,5-Feb,1:45
16_Oct_2023,Stockholm,Hard,R16,46,81,(LL)Tomas Machac [CZE] d. Wawrinka,6-4 6-1,,0.53,2.30%,2.30%,62.80%,63.00%,50.00%,4-Jan,1:05
16_Oct_2023,Stockholm,Hard,R32,46,76,Wawrinka d. Borna Gojo [CRO],7-5 6-4,,1.18,10.10%,4.30%,59.40%,73.20%,64.30%,6-May,1:30
2_Oct_2023,Shanghai Masters,Hard,R128,46,55,Dusan Lajovic [SRB] d. Wawrinka,6-4 7-6(7),,0.87,13.30%,1.30%,61.30%,76.10%,34.50%,8-Apr,1:53
25_Sep_2023,Astana,Hard,R32,47,82,Marcos Giron [USA] d. (8)Wawrinka,6-7(6) 7-6(4) 7-6(6),,1,13.20%,5.30%,47.40%,90.70%,61.70%,0/0,2:47
15_Sep_2023,Davis Cup Finals RR: GBR vs SUI,Hard,RR,40,17,Wawrinka d. Cameron Norrie [GBR],7-5 6-4,,1.31,26.90%,3.00%,58.20%,82.10%,50.00%,4-Mar,
12_Sep_2023,Davis Cup Finals RR: FRA vs SUI,Hard,RR,40,36,Ugo Humbert [FRA] d. Wawrinka,6-4 6-4,,0.62,10.80%,1.50%,61.50%,65.00%,40.00%,7-Apr,
28_Aug_2023,US Open,Hard,R32,49,6,(6)Jannik Sinner [ITA] d. Wawrinka,6-3 2-6 6-4 6-2, (ch),0.9,7.50%,3.70%,49.50%,60.40%,53.70%,13-Aug,2:58
28_Aug_2023,US Open,Hard,R64,49,34,Wawrinka d. (30)Tomas Martin Etcheverry [ARG],7-6(6) 6-7(7) 6-3 6-2,,1.24,12.40%,1.50%,48.90%,79.10%,55.70%,9-Jul,3:39
28_Aug_2023,US Open,Hard,R128,49,44,Wawrinka d. Yoshihito Nishioka [JPN],7-6(5) 6-2 6-4,,1.4,13.30%,0.00%,54.40%,83.70%,53.70%,0/1,2:25
14_Aug_2023,Cincinnati Masters,Hard,R16,51,70,(Q)Max Purcell [AUS] d. (WC)Wawrinka,6-4 6-2,,0.66,6.70%,1.70%,65.00%,61.50%,42.90%,9-Jun,1:12
14_Aug_2023,Cincinnati Masters,Hard,R32,51,10,(WC)Wawrinka d. (10)Frances Tiafoe [USA],6-3 6-4,,1.93,22.00%,2.00%,48.00%,95.80%,61.50%,3-Feb,1:18
14_Aug_2023,Cincinnati Masters,Hard,R64,51,73,(WC)Wawrinka d. (WC)Brandon Nakashima [USA],6-3 6-7(5) 6-3,,1.04,11.30%,5.20%,46.10%,83.00%,56.50%,8-Aug,2:36
24_Jul_2023,Umag,Clay,F,72,90,Alexei Popyrin [AUS] d. (6)Wawrinka,6-7(5) 6-3 6-4, (ch),0.85,4.40%,2.20%,60.00%,72.20%,52.80%,9-May,2:36
24_Jul_2023,Umag,Clay,SF,72,43,(6)Wawrinka d. (2)Lorenzo Sonego [ITA],6-3 6-4,,1.35,8.90%,0.00%,57.10%,84.40%,66.70%,1-Jan,1:26
24_Jul_2023,Umag,Clay,QF,72,59,(6)Wawrinka d. (4)Roberto Carballes Baena [ESP],6-4 7-5,,1.45,5.40%,1.80%,53.60%,80.00%,69.20%,0/1,1:44
24_Jul_2023,Umag,Clay,R16,72,108,(6)Wawrinka d. Federico Coria [ARG],7-5 6-1,,1.62,3.70%,1.90%,48.10%,76.90%,60.70%,4-Feb,1:27
24_Jul_2023,Umag,Clay,R32,72,129,(6)Wawrinka d. (Q)Filip Misolic [AUT],6-3 6-2,,1.5,8.00%,4.00%,60.00%,76.70%,60.00%,3-Feb,1:02
17_Jul_2023,Gstaad,Clay,R16,74,110,Jaume Munar [ESP] d. Wawrinka,7-6(3) 6-1,,0.67,3.40%,5.20%,65.50%,68.40%,30.00%,9-May,1:25
17_Jul_2023,Gstaad,Clay,R32,74,60,Wawrinka d. (6)Roberto Carballes Baena [ESP],6-1 3-1 RET,,2.71,13.30%,3.30%,53.30%,93.80%,64.30%,0/0,0:41
3_Jul_2023,Wimbledon,Grass,R32,88,2,(2)Novak Djokovic [SRB] d. Wawrinka,6-3 6-1 7-6(5),,0.5,6.50%,0.00%,42.40%,69.20%,52.80%,9-May,2:07
3_Jul_2023,Wimbledon,Grass,R64,88,32,Wawrinka d. (29)Tomas Martin Etcheverry [ARG],6-3 4-6 6-4 6-2,,1.56,4.90%,1.00%,55.30%,93.00%,54.30%,3-Feb,2:34
3_Jul_2023,Wimbledon,Grass,R128,88,47,Wawrinka d. Emil Ruusuvuori [FIN],7-5 7-5 6-4, (ch),1.14,5.50%,2.80%,65.10%,74.60%,50.00%,11-Sep,2:18
29_May_2023,Roland Garros,Clay,R64,89,108,(WC)Thanasi Kokkinakis [AUS] d. Wawrinka,3-6 7-5 6-3 6-7(4) 6-3,,1.11,8.30%,3.40%,58.60%,72.90%,61.70%,14-Sep,4:39
29_May_2023,Roland Garros,Clay,R128,89,67,Wawrinka d. Albert Ramos [ESP],7-6(5) 6-4 6-7(2) 1-6 6-4,,0.93,7.30%,2.10%,56.30%,69.40%,53.60%,15-Oct,4:36
15_May_2023,Bordeaux CH,Clay,QF,84,50,(5)Ugo Humbert [FRA] d. Wawrinka,7-5 6-1,,0.74,0.00%,3.10%,68.80%,61.40%,40.00%,10-Jun,1:34
15_May_2023,Bordeaux CH,Clay,R16,84,42,Wawrinka d. (2)Andy Murray [GBR],6-3 6-0,,1.85,6.00%,2.00%,54.00%,81.50%,60.90%,1-Jan,1:15
15_May_2023,Bordeaux CH,Clay,R32,84,336,Wawrinka d. (Q)Ugo Blanchet [FRA],6-3 6-1,,1.67,10.50%,3.50%,57.90%,75.80%,58.30%,5-May,1:07
8_May_2023,Rome Masters,Clay,R64,84,33,(26)Grigor Dimitrov [BUL] d. Wawrinka,6-4 7-6(3),,0.66,2.60%,0.00%,63.20%,68.80%,53.60%,7-May,1:37
8_May_2023,Rome Masters,Clay,R128,84,73,Wawrinka d. Ilya Ivashka [BLR],6-2 6-4,,1.65,9.40%,0.00%,56.60%,80.00%,65.20%,1-Jan,1:17
24_Apr_2023,Madrid Masters,Clay,R64,84,6,(5)Andrey Rublev [RUS] d. Wawrinka,7-5 6-4, (ch),0.66,11.70%,0.00%,71.70%,67.40%,29.40%,6-Feb,1:17
24_Apr_2023,Madrid Masters,Clay,R128,84,39,Wawrinka d. Maxime Cressy [USA],6-7(3) 6-3 7-6(4), (ch),1.34,19.80%,1.00%,56.30%,85.20%,73.80%,2-Feb,2:27
17_Apr_2023,Banja Luka,Clay,R32,84,87,Luca Van Assche [FRA] d. Wawrinka,1-6 7-6(4) 6-4,,1.11,4.00%,2.00%,56.60%,75.00%,48.80%,5-Mar,2:42
10_Apr_2023,Monte Carlo Masters,Clay,R32,90,10,(8)Taylor Fritz [USA] d. (WC)Wawrinka,7-6(10) 6-2,,0.67,2.80%,2.80%,58.30%,76.20%,43.30%,5-Mar,1:38
10_Apr_2023,Monte Carlo Masters,Clay,R64,90,35,(WC)Wawrinka d. Tallon Griekspoor [NED],5-7 6-3 6-4, (ch),0.84,7.30%,3.30%,59.30%,67.10%,52.00%,11-Sep,2:26
6_Mar_2023,Indian Wells Masters,Hard,R16,100,13,(11)Jannik Sinner [ITA] d. (PR)Wawrinka,6-1 6-4,,0.71,1.60%,1.60%,54.00%,58.80%,37.90%,14-Oct,1:38
6_Mar_2023,Indian Wells Masters,Hard,R32,100,8,(PR)Wawrinka d. (7)Holger Rune [DEN],6-2 6-7(5) 7-5, (ch),1.39,11.80%,1.00%,56.90%,74.10%,61.40%,8-Jun,2:40
6_Mar_2023,Indian Wells Masters,Hard,R64,100,31,(PR)Wawrinka d. (26)Miomir Kecmanovic [SRB],7-6(8) 6-4,,1.61,20.00%,4.60%,52.30%,88.20%,61.30%,2-Jan,1:45
6_Mar_2023,Indian Wells Masters,Hard,R128,100,186,(PR)Wawrinka d. (Q)Aleksandar Vukic [AUS],6-4 1-6 6-1,,1.15,15.90%,3.20%,54.00%,85.30%,55.20%,4-Feb,1:23
20_Feb_2023,Marseille,Hard,QF,105,118,(WC)Arthur Fils [FRA] d. Wawrinka,6-2 6-3,,0.39,6.30%,3.10%,51.60%,75.80%,32.30%,12-Aug,1:06
20_Feb_2023,Marseille,Hard,R16,105,43,Wawrinka d. (7)Richard Gasquet [FRA],4-6 7-5 6-2,,1.24,14.60%,2.20%,53.90%,79.20%,51.20%,6-Apr,2:24
20_Feb_2023,Marseille,Hard,R32,105,132,Wawrinka d. Zizou Bergs [BEL],6-4 6-7(6) 6-4,,1,11.70%,1.90%,67.00%,76.80%,64.70%,7-Jul,2:31
13_Feb_2023,Rotterdam,Hard,QF,130,14,Jannik Sinner [ITA] d. (PR)Wawrinka,6-1 6-3, (ch),0.57,5.00%,2.50%,55.00%,59.10%,22.20%,8-Mar,1:12
13_Feb_2023,Rotterdam,Hard,R16,130,45,(PR)Wawrinka d. Richard Gasquet [FRA],6-3 6-3, (ch),2.31,23.40%,2.10%,57.40%,96.30%,60.00%,0/0,1:16
13_Feb_2023,Rotterdam,Hard,R32,130,50,(PR)Wawrinka d. Alexander Bublik [KAZ],7-6(5) 6-4,,1.28,5.80%,0.00%,63.80%,84.10%,60.00%,1-Jan,1:38
3_Feb_2023,Davis Cup QLS R1: GER vs SUI,Hard,RR,135,14,Alexander Zverev [GER] d. Wawrinka,6-4 6-1,,0.72,0.00%,0.00%,60.00%,56.70%,40.00%,6-Feb,
3_Feb_2023,Davis Cup QLS R1: GER vs SUI,Hard,RR,135,91,Wawrinka d. Daniel Altmaier [GER],6-3 5-7 6-4,,,,,,,,,
16_Jan_2023,Australian Open,Hard,R128,139,53,Alex Molcan [SVK] d. Wawrinka,6-7(3) 6-3 1-6 7-6(2) 6-4, (ch),0.94,9.30%,2.30%,57.60%,72.70%,31.50%,14/23,4:22
2_Jan_2023,United Cup,Hard,RR,148,10,(2)Hubert Hurkacz [POL] d. (9)Wawrinka,7-6(5) 6-4, (ch),0.76,13.40%,4.50%,49.30%,78.80%,61.80%,3-Jan,1:39
2_Jan_2023,United Cup,Hard,RR,148,37,(9)Wawrinka d. (13)Alexander Bublik [KAZ],6-3 7-6(3),,1.28,15.90%,0.00%,54.00%,85.30%,65.50%,0/0,1:30
31_Oct_2022,Paris Masters,Hard,R64,153,18,Holger Rune [DEN] d. (PR)Wawrinka,4-6 7-5 7-6(3),,0.79,1.90%,0.00%,50.00%,75.00%,55.80%,3-Jan,2:30
24_Oct_2022,Basel,Hard,QF,194,22,(6)Roberto Bautista Agut [ESP] d. (PR)Wawrinka,7-5 7-6(5), (ch),0.6,6.50%,0.00%,77.40%,70.80%,42.90%,14-Dec,2:08
24_Oct_2022,Basel,Hard,R16,194,44,(PR)Wawrinka d. Brandon Nakashima [USA],6-4 5-7 6-4,,1.17,10.60%,0.00%,67.10%,75.40%,67.90%,6-Apr,2:12
24_Oct_2022,Basel,Hard,R32,194,3,(PR)Wawrinka d. (2)Casper Ruud [NOR],6-4 6-4, (ch),1.01,17.00%,0.00%,52.80%,92.90%,64.00%,3-Mar,1:18
17_Oct_2022,Antwerp,Hard,R32,193,82,Richard Gasquet [FRA] d. (WC)Wawrinka,2-6 7-6(4) 6-4,,1.08,16.50%,2.20%,57.10%,78.80%,56.40%,7-May,2:05
3_Oct_2022,Astana,Hard,R32,191,51,Adrian Mannarino [FRA] d. (WC)Wawrinka,1-6 6-2 6-3,,0.8,14.10%,3.10%,57.80%,70.30%,51.90%,6-Mar,1:28
19_Sep_2022,Metz,Hard,SF,284,44,(7)Alexander Bublik [KAZ] d. (Q)Wawrinka,2-1 RET,,0.44,11.10%,0.00%,44.40%,75.00%,30.00%,5-Apr,0:17
19_Sep_2022,Metz,Hard,QF,284,100,(Q)Wawrinka d. Mikael Ymer [SWE],6-4 4-6 7-6(5),,1.04,6.30%,0.00%,59.80%,67.20%,62.20%,14-Nov,2:49
19_Sep_2022,Metz,Hard,R16,284,4,(Q)Wawrinka d. (1)Daniil Medvedev [RUS],6-4 6-7(7) 6-3, (ch),1.23,2.00%,1.00%,58.20%,77.20%,61.00%,4-Feb,2:20
19_Sep_2022,Metz,Hard,R32,284,55,(Q)Wawrinka d. Joao Sousa [POR],7-6(1) 6-2,,1.19,11.60%,5.80%,50.70%,82.90%,58.80%,3-Mar,1:34
19_Sep_2022,Metz,Hard,Q2,284,160,(WC)Wawrinka d. Zsombor Piros [HUN],6-7(4) 6-2 6-0,,1.34,9.50%,2.10%,64.20%,68.90%,64.70%,4-Apr,1:55
19_Sep_2022,Metz,Hard,Q1,284,67,(WC)Wawrinka d. (1)Laslo Djere [SRB],6-4 6-3,,1.83,2.00%,2.00%,47.10%,83.30%,70.40%,2-Jan,1:13
29_Aug_2022,US Open,Hard,R128,295,112,Corentin Moutet [FRA] d. Wawrinka,6-4 7-6(7) RET,,0.86,7.40%,3.70%,55.60%,77.80%,41.70%,7-May,2:00
15_Aug_2022,Cincinnati Masters,Hard,R64,306,47,Andy Murray [GBR] d. (PR)Wawrinka,7-6(3) 5-7 7-5, (ch),1.04,10.90%,2.00%,58.40%,71.20%,61.90%,5-Feb,2:57
8_Aug_2022,Canada Masters,Hard,R64,322,44,Emil Ruusuvuori [FIN] d. (PR)Wawrinka,6-3 3-6 6-3, (ch),0.95,9.00%,3.80%,56.40%,77.30%,41.20%,9-Jun,2:10
11_Jul_2022,Bastad,Clay,R32,290,18,(5)Pablo Carreno Busta [ESP] d. (WC)Wawrinka,7-5 6-4,,0.71,15.90%,1.60%,47.60%,90.00%,51.50%,6-Apr,1:24
27_Jun_2022,Wimbledon,Grass,R128,267,13,(10)Jannik Sinner [ITA] d. Wawrinka,7-5 4-6 6-3 6-2,,0.74,7.60%,2.30%,48.50%,70.30%,51.50%,15-Oct,2:41
13_Jun_2022,Queen's Club,Grass,R16,290,35,Tommy Paul [USA] d. (PR)Wawrinka,6-1 6-4, (ch),0.69,1.90%,3.80%,64.20%,61.80%,52.60%,10-Jul,1:05
13_Jun_2022,Queen's Club,Grass,R32,290,27,(PR)Wawrinka d. Frances Tiafoe [USA],7-6(2) 6-7(6) 7-6(5),,1.08,16.70%,1.50%,57.60%,89.50%,42.90%,7-Jun,2:47
23_May_2022,Roland Garros,Clay,R128,264,139,(WC)Corentin Moutet [FRA] d. Wawrinka,2-6 6-3 7-6(2) 6-3,,0.88,10.30%,3.40%,59.50%,66.70%,48.90%,11-Jun,
9_May_2022,Rome Masters,Clay,R16,361,1,(1)Novak Djokovic [SRB] d. (PR)Wawrinka,6-2 6-2, (ch),0.57,1.80%,7.00%,42.10%,58.30%,36.40%,7-Feb,1:15
9_May_2022,Rome Masters,Clay,R32,361,58,(PR)Wawrinka d. (Q)Laslo Djere [SRB],7-6(8) 3-6 6-4,,1.23,7.90%,4.50%,55.10%,79.60%,57.50%,3-Jan,2:48
9_May_2022,Rome Masters,Clay,R64,361,17,(PR)Wawrinka d. (14)Reilly Opelka [USA],3-6 7-5 6-2, (ch),1.05,8.20%,2.00%,53.10%,69.20%,58.70%,10-Aug,2:05
11_Apr_2022,Monte Carlo Masters,Clay,R64,236,36,Alexander Bublik [KAZ] d. (WC)Wawrinka,3-6 7-5 6-2,,0.96,4.00%,0.00%,53.50%,62.30%,50.00%,11-Jun,2:07
28_Mar_2022,Marbella CH,Clay,R32,232,131,Elias Ymer [SWE] d. (WC)Wawrinka,6-2 6-4,,0.78,4.50%,3.00%,56.70%,60.50%,34.50%,11-Jun,1:33
8_Mar_2021,Doha,Hard,R32,20,84,(Q)Lloyd Harris [RSA] d. (7)Wawrinka,7-6(3) 6-7(6) 7-5,,1.03,15.50%,4.50%,63.60%,87.10%,50.00%,5-Mar,2:40
1_Mar_2021,Rotterdam,Hard,R32,20,21,Karen Khachanov [RUS] d. (8)Wawrinka,6-4 7-5, (ch),0.73,5.60%,5.60%,52.10%,81.10%,44.10%,5-Mar,1:31
8_Feb_2021,Australian Open,Hard,R64,18,55,Marton Fucsovics [HUN] d. (17)Wawrinka,7-5 6-1 4-6 2-6 7-6(9), (ch),0.86,5.30%,1.20%,58.20%,64.60%,53.50%,17-Nov,3:59
8_Feb_2021,Australian Open,Hard,R128,18,107,(17)Wawrinka d. Pedro Sousa [POR],6-3 6-2 6-4,,1.87,9.50%,2.70%,55.40%,87.80%,63.60%,0/0,1:36
1_Feb_2021,Murray River Open,Hard,QF,18,66,Jeremy Chardy [FRA] d. (1)Wawrinka,W/O,,,,,,,,,
1_Feb_2021,Murray River Open,Hard,R16,18,174,(1)Wawrinka d. Alex Bolt [AUS],6-4 4-6 7-6(5),,0.91,6.40%,2.40%,52.00%,70.80%,53.30%,12-Sep,2:23
1_Feb_2021,Murray River Open,Hard,R32,18,90,(1)Wawrinka d. Mikhail Kukushkin [KAZ],4-6 6-3 6-1,,1.3,16.70%,0.00%,61.90%,80.80%,46.90%,5-Apr,1:56
2_Nov_2020,Paris Masters,Hard,QF,20,7,(4)Alexander Zverev [GER] d. (12)Wawrinka,6-3 7-6(1),,0.71,3.10%,1.50%,55.40%,63.90%,48.30%,0/4,1:25
2_Nov_2020,Paris Masters,Hard,R16,20,8,(12)Wawrinka d. (5)Andrey Rublev [RUS],1-6 6-4 6-3,,1,15.00%,2.50%,66.30%,67.90%,59.30%,6-Mar,1:41
2_Nov_2020,Paris Masters,Hard,R32,20,55,(12)Wawrinka d. Tommy Paul [USA],4-6 7-6(3) 6-2,,1.07,6.60%,2.50%,66.40%,66.70%,43.90%,16-Nov,2:21
2_Nov_2020,Paris Masters,Hard,R64,20,31,(12)Wawrinka d. Daniel Evans [GBR],6-3 7-6(3),,1.47,11.90%,1.50%,59.70%,82.50%,66.70%,2-Feb,1:33
26_Oct_2020,Vienna,Hard,R32,19,22,Cristian Garin [CHI] d. Wawrinka,6-4 6-7(9) 6-3,,0.97,9.50%,4.20%,53.70%,84.30%,52.30%,5-Mar,2:13
12_Oct_2020,St Petersburg,Hard,QF,18,12,(2)Denis Shapovalov [CAN] d. (5)Wawrinka,6-4 7-5,,0.85,2.60%,1.30%,60.50%,71.70%,40.00%,8-May,1:40
12_Oct_2020,St Petersburg,Hard,R16,18,121,(5)Wawrinka d. (WC)Evgeny Donskoy [RUS],6-1 3-6 6-3,,1.33,9.20%,2.60%,67.10%,78.40%,56.00%,6-May,1:42
12_Oct_2020,St Petersburg,Hard,R32,18,34,(5)Wawrinka d. Daniel Evans [GBR],3-6 7-6(3) 7-5,,1,7.00%,0.00%,68.00%,70.60%,46.90%,7-Mar,2:31
28_Sep_2020,Roland Garros,Clay,R32,17,239,(WC)Hugo Gaston [FRA] d. (16)Wawrinka,2-6 6-3 6-3 4-6 6-0,,0.95,4.80%,1.40%,57.10%,59.50%,50.80%,13/21,3:10
28_Sep_2020,Roland Garros,Clay,R64,17,61,(16)Wawrinka d. Dominik Koepfer [GER],6-3 6-2 3-6 6-1,,1.33,5.40%,0.90%,62.20%,73.90%,57.10%,6-May,2:08
28_Sep_2020,Roland Garros,Clay,R128,17,111,(16)Wawrinka d. (WC)Andy Murray [GBR],6-1 6-3 6-2, (ch),2.03,13.80%,1.50%,46.20%,86.70%,65.70%,3-Mar,1:37
14_Sep_2020,Rome Masters,Clay,R64,17,249,(Q)Lorenzo Musetti [ITA] d. (10)Wawrinka,6-0 7-6(2),,0.64,2.90%,0.00%,56.50%,59.00%,40.00%,7-Mar,1:23
24_Aug_2020,Prague CH,Clay,QF,15,194,Aslan Karatsev [RUS] d. (1)Wawrinka,W/O,,,,,,,,,
24_Aug_2020,Prague CH,Clay,R16,15,174,(1)Wawrinka d. (15)Botic Van De Zandschulp [NED],6-3 6-3,,1.29,3.10%,4.60%,58.50%,68.40%,59.30%,7-Jun,1:11
24_Aug_2020,Prague CH,Clay,R32,15,277,(1)Wawrinka d. (Q)Goncalo Oliveira [POR],6-3 6-4,,1.51,6.50%,4.80%,45.20%,78.60%,67.60%,5-May,1:18
17_Aug_2020,Prague CH,Clay,F,17,253,(1)Wawrinka d. Aslan Karatsev [RUS],7-6(2) 6-4,,1.36,14.30%,2.90%,58.60%,90.20%,48.30%,1-Jan,1:44
17_Aug_2020,Prague CH,Clay,SF,17,405,(1)Wawrinka d. (WC)Michael Vrbensky [CZE],5-7 6-3 6-3,,1.22,8.00%,3.40%,56.30%,77.60%,55.30%,7-May,2:20
