Loc1_Infected,Loc1_Dead,Loc2_Infected,Loc2_Dead,Loc3_Infected,Loc3_Dead,Loc4_Infected,Loc4_Dead,Loc5_Infected,Loc5_Dead
1465.0,224.0,39409.0,5663.0,183.0,17.0,8731.0,353.0,306.0,76.0
1440.0,234.0,47401.0,5798.0,162.0,17.0,9865.0,354.0,239.0,84.0
1328.0,253.0,43887.0,6150.0,139.0,18.0,10295.0,376.0,351.0,85.0
1504.0,238.0,52516.0,6457.0,191.0,19.0,9750.0,376.0,334.0,88.0
1298.0,260.0,54093.0,6983.0,166.0,20.0,11610.0,364.0,400.0,86.0
1522.0,254.0,66425.0,7260.0,164.0,20.0,9293.0,413.0,334.0,99.0
1274.0,258.0,45103.0,7387.0,120.0,19.0,10480.0,425.0,367.0,93.0
1534.0,270.0,66667.0,7256.0,178.0,19.0,7318.0,422.0,336.0,97.0
1136.0,285.0,41273.0,8162.0,145.0,20.0,8286.0,424.0,374.0,107.0
956.0,280.0,70715.0,9012.0,162.0,21.0,6871.0,438.0,356.0,104.0
1759.0,303.0,77267.0,8833.0,173.0,22.0,6954.0,466.0,316.0,106.0
1023.0,294.0,72768.0,9696.0,122.0,23.0,6004.0,475.0,404.0,118.0
1282.0,319.0,80150.0,10155.0,112.0,23.0,10610.0,453.0,405.0,121.0
1532.0,331.0,80901.0,10964.0,136.0,24.0,6458.0,442.0,341.0,121.0
1606.0,330.0,84389.0,10454.0,130.0,23.0,7616.0,476.0,247.0,123.0
1257.0,324.0,73471.0,11140.0,135.0,26.0,6769.0,495.0,401.0,123.0
1372.0,320.0,77036.0,11841.0,118.0,24.0,7117.0,519.0,339.0,124.0
1740.0,349.0,96433.0,12649.0,122.0,25.0,6642.0,510.0,478.0,136.0
1104.0,363.0,71239.0,13350.0,118.0,27.0,5596.0,519.0,418.0,139.0
1301.0,368.0,97787.0,12568.0,146.0,27.0,5434.0,521.0,401.0,144.0
1356.0,351.0,107354.0,14549.0,109.0,26.0,4321.0,528.0,427.0,144.0
1246.0,351.0,88128.0,14670.0,149.0,26.0,4339.0,550.0,383.0,150.0
1331.0,356.0,81545.0,15571.0,96.0,26.0,5389.0,545.0,449.0,149.0
1572.0,375.0,104683.0,16240.0,124.0,29.0,5680.0,527.0,460.0,152.0
1427.0,399.0,96159.0,16094.0,163.0,28.0,4920.0,522.0,433.0,153.0
1225.0,377.0,128704.0,18321.0,148.0,28.0,5554.0,546.0,418.0,177.0
1833.0,381.0,84754.0,17045.0,138.0,28.0,4372.0,547.0,360.0,186.0
1310.0,422.0,121274.0,18849.0,121.0,29.0,4361.0,571.0,433.0,173.0
1573.0,417.0,136332.0,19116.0,118.0,30.0,4417.0,559.0,464.0,180.0
1239.0,449.0,109569.0,19314.0,123.0,29.0,4153.0,613.0,442.0,178.0
1623.0,436.0,135456.0,21187.0,89.0,29.0,3144.0,541.0,413.0,193.0
1479.0,459.0,114189.0,21937.0,122.0,33.0,4066.0,551.0,403.0,203.0
1768.0,454.0,105060.0,21008.0,139.0,32.0,3397.0,566.0,506.0,200.0
1525.0,471.0,140207.0,24034.0,113.0,31.0,3100.0,613.0,562.0,205.0
1029.0,495.0,140730.0,23764.0,112.0,32.0,3482.0,588.0,462.0,211.0
1272.0,471.0,149407.0,22041.0,110.0,33.0,3184.0,653.0,560.0,201.0
1638.0,478.0,145134.0,24031.0,121.0,31.0,2901.0,595.0,491.0,215.0
1774.0,524.0,149013.0,27364.0,114.0,34.0,2817.0,560.0,584.0,233.0
1534.0,508.0,171020.0,28554.0,77.0,33.0,2838.0,629.0,484.0,228.0
1646.0,524.0,179850.0,29227.0,93.0,31.0,2029.0,611.0,552.0,240.0
1528.0,507.0,172344.0,28994.0,93.0,34.0,2840.0,612.0,467.0,222.0
1477.0,519.0,183035.0,31161.0,105.0,35.0,3192.0,645.0,634.0,259.0
1733.0,503.0,167137.0,30925.0,86.0,34.0,2684.0,620.0,658.0,244.0
1688.0,528.0,151794.0,31416.0,89.0,33.0,2727.0,606.0,508.0,250.0
1466.0,503.0,173885.0,34763.0,99.0,35.0,2372.0,614.0,704.0,249.0
1338.0,566.0,174470.0,36358.0,82.0,36.0,2082.0,650.0,683.0,275.0
1410.0,583.0,160328.0,39089.0,87.0,34.0,2310.0,640.0,603.0,250.0
1336.0,532.0,188383.0,36944.0,66.0,33.0,2436.0,648.0,706.0,305.0
1583.0,545.0,181630.0,37233.0,79.0,36.0,2548.0,623.0,671.0,298.0
1629.0,595.0,182698.0,38615.0,89.0,35.0,2738.0,600.0,667.0,290.0
1630.0,582.0,206061.0,41834.0,110.0,35.0,2552.0,664.0,639.0,321.0
1339.0,600.0,195516.0,40138.0,93.0,35.0,2986.0,623.0,814.0,302.0
1640.0,591.0,258323.0,44412.0,75.0,36.0,2676.0,687.0,678.0,306.0
1510.0,591.0,235865.0,45521.0,78.0,38.0,2408.0,655.0,584.0,320.0
1588.0,612.0,248248.0,47035.0,77.0,39.0,1977.0,642.0,750.0,315.0
1506.0,628.0,207514.0,48534.0,75.0,39.0,2204.0,688.0,736.0,348.0
1673.0,634.0,165897.0,50967.0,101.0,37.0,2454.0,664.0,687.0,353.0
1564.0,628.0,194275.0,49546.0,80.0,39.0,2445.0,658.0,793.0,362.0
1729.0,642.0,202856.0,50396.0,79.0,40.0,2799.0,651.0,850.0,354.0
1781.0,661.0,193474.0,52001.0,76.0,40.0,2378.0,660.0,735.0,369.0
1906.0,655.0,264311.0,53482.0,83.0,40.0,2333.0,638.0,715.0,332.0
1553.0,674.0,192488.0,57949.0,62.0,40.0,1948.0,662.0,797.0,386.0
1643.0,670.0,225358.0,58993.0,85.0,39.0,3005.0,669.0,909.0,407.0
1593.0,694.0,229959.0,59489.0,82.0,42.0,3252.0,655.0,958.0,394.0
1583.0,653.0,234633.0,61317.0,82.0,39.0,2179.0,682.0,902.0,424.0
1400.0,730.0,219817.0,63706.0,78.0,42.0,2543.0,671.0,899.0,392.0
1444.0,696.0,250871.0,60233.0,60.0,40.0,2998.0,655.0,944.0,431.0
1514.0,699.0,194025.0,62025.0,60.0,42.0,2937.0,676.0,771.0,424.0
1570.0,741.0,237170.0,65191.0,63.0,41.0,2823.0,711.0,849.0,437.0
1584.0,710.0,226793.0,63275.0,63.0,41.0,2984.0,668.0,1081.0,474.0
1592.0,743.0,221613.0,64017.0,67.0,40.0,2542.0,674.0,983.0,457.0
1252.0,779.0,206671.0,66040.0,71.0,40.0,2401.0,729.0,959.0,440.0
1323.0,750.0,166487.0,69047.0,71.0,43.0,2536.0,696.0,1035.0,459.0
1864.0,774.0,217836.0,68303.0,74.0,45.0,2003.0,651.0,1013.0,480.0
1818.0,776.0,171108.0,75085.0,59.0,41.0,2149.0,680.0,840.0,507.0
1516.0,823.0,177161.0,74120.0,68.0,43.0,3062.0,694.0,1026.0,502.0
2316.0,794.0,181027.0,78040.0,64.0,42.0,2971.0,700.0,1175.0,508.0
1673.0,789.0,191870.0,77439.0,58.0,40.0,1887.0,689.0,951.0,492.0
1647.0,791.0,188623.0,76899.0,75.0,43.0,2961.0,673.0,795.0,490.0
1839.0,782.0,147885.0,76473.0,61.0,40.0,2843.0,729.0,1244.0,537.0
1930.0,782.0,167619.0,76551.0,65.0,42.0,2619.0,694.0,942.0,521.0
1336.0,799.0,156691.0,80061.0,50.0,41.0,2600.0,716.0,1243.0,541.0
1628.0,808.0,130830.0,81474.0,53.0,43.0,2876.0,708.0,1119.0,537.0
1644.0,812.0,157928.0,79220.0,61.0,44.0,2048.0,728.0,1061.0,552.0
1473.0,821.0,140067.0,83422.0,57.0,46.0,3132.0,710.0,1121.0,562.0
1379.0,817.0,111195.0,80019.0,73.0,44.0,3235.0,766.0,1068.0,620.0
1510.0,788.0,161331.0,81440.0,59.0,42.0,2337.0,763.0,944.0,570.0
1907.0,789.0,153328.0,84433.0,62.0,42.0,3178.0,689.0,1088.0,622.0
1532.0,871.0,132761.0,85514.0,62.0,44.0,2913.0,692.0,947.0,606.0
1601.0,900.0,112910.0,80122.0,68.0,46.0,2463.0,792.0,950.0,605.0
1648.0,858.0,115576.0,89379.0,54.0,45.0,3311.0,752.0,1339.0,638.0
1655.0,910.0,111100.0,88246.0,55.0,48.0,2606.0,761.0,1261.0,601.0
1884.0,884.0,88432.0,88327.0,70.0,44.0,3336.0,737.0,1270.0,635.0
1742.0,899.0,113867.0,92794.0,64.0,47.0,2462.0,747.0,968.0,642.0
1328.0,836.0,105425.0,87035.0,72.0,47.0,3062.0,752.0,860.0,628.0
1398.0,873.0,88555.0,91566.0,69.0,47.0,2852.0,799.0,1447.0,687.0
1073.0,918.0,112494.0,96643.0,70.0,47.0,3280.0,742.0,1288.0,667.0
1646.0,937.0,103568.0,93011.0,59.0,47.0,2877.0,749.0,1027.0,733.0
1234.0,899.0,110059.0,96105.0,66.0,46.0,2761.0,713.0,1220.0,757.0
1196.0,924.0,94389.0,92261.0,69.0,49.0,2055.0,791.0,1230.0,695.0
1391.0,934.0,109560.0,92113.0,71.0,44.0,3058.0,771.0,1429.0,756.0
1359.0,988.0,101140.0,95221.0,55.0,48.0,2590.0,787.0,1307.0,754.0
1453.0,954.0,100000.0,92839.0,70.0,48.0,2501.0,775.0,1218.0,702.0
1433.0,1022.0,59036.0,96077.0,71.0,46.0,3742.0,780.0,1056.0,780.0
1390.0,996.0,78801.0,98004.0,68.0,47.0,2700.0,777.0,1201.0,808.0
1270.0,1015.0,92372.0,91081.0,50.0,44.0,3227.0,744.0,1182.0,832.0
1426.0,928.0,76029.0,94637.0,68.0,49.0,3596.0,805.0,1439.0,792.0
1580.0,948.0,87863.0,97622.0,75.0,48.0,3338.0,769.0,1642.0,814.0
1203.0,1021.0,78194.0,92080.0,68.0,48.0,2827.0,882.0,1194.0,773.0
1485.0,1010.0,84620.0,100776.0,54.0,48.0,3309.0,838.0,1185.0,848.0
1344.0,1004.0,72709.0,103841.0,70.0,44.0,3575.0,818.0,1226.0,865.0
1330.0,1003.0,90476.0,93870.0,68.0,51.0,2774.0,816.0,1833.0,833.0
1198.0,1070.0,82250.0,100299.0,60.0,48.0,3193.0,821.0,1458.0,897.0
1280.0,1081.0,74334.0,91187.0,69.0,47.0,3071.0,841.0,1233.0,884.0
1548.0,1068.0,69446.0,100168.0,74.0,49.0,2631.0,836.0,1514.0,893.0
1364.0,1004.0,51068.0,98779.0,76.0,48.0,3180.0,854.0,1181.0,869.0
1145.0,1017.0,60470.0,98437.0,61.0,51.0,3234.0,774.0,1609.0,913.0
1150.0,1077.0,53425.0,103440.0,66.0,49.0,2911.0,788.0,1404.0,927.0
1042.0,1082.0,60563.0,99932.0,79.0,54.0,3529.0,830.0,1372.0,943.0
1380.0,1083.0,66273.0,98561.0,59.0,51.0,3403.0,858.0,1651.0,992.0
1344.0,970.0,61784.0,111414.0,60.0,54.0,3432.0,817.0,1798.0,1019.0
1192.0,1089.0,52223.0,102285.0,52.0,52.0,2898.0,847.0,1612.0,974.0
1203.0,1086.0,61020.0,103879.0,67.0,50.0,3295.0,871.0,1530.0,976.0
1148.0,1073.0,44576.0,103111.0,65.0,52.0,3106.0,845.0,1541.0,982.0
1138.0,1127.0,47175.0,105303.0,75.0,51.0,3029.0,897.0,1349.0,1026.0
990.0,1080.0,55921.0,103235.0,59.0,54.0,3026.0,892.0,1290.0,1002.0
1234.0,1089.0,58943.0,108297.0,67.0,51.0,3992.0,854.0,1806.0,1062.0
1099.0,1058.0,46178.0,101906.0,83.0,53.0,3271.0,837.0,1424.0,1086.0
981.0,1116.0,49575.0,108545.0,84.0,55.0,3483.0,868.0,1345.0,1047.0
785.0,1071.0,56372.0,110200.0,63.0,55.0,4542.0,933.0,1573.0,1146.0
1098.0,1122.0,50880.0,101716.0,68.0,52.0,3270.0,901.0,1430.0,1109.0
1080.0,1142.0,50459.0,107789.0,71.0,52.0,3268.0,913.0,1245.0,1124.0
823.0,1054.0,35664.0,100489.0,65.0,56.0,4736.0,895.0,1267.0,1164.0
981.0,1074.0,43732.0,113513.0,73.0,50.0,2872.0,925.0,1521.0,1143.0
791.0,1122.0,45562.0,109455.0,63.0,57.0,3745.0,874.0,1571.0,1130.0
1044.0,1157.0,39245.0,98778.0,73.0,57.0,3913.0,944.0,1551.0,1208.0
990.0,1121.0,49112.0,103590.0,84.0,55.0,2956.0,850.0,1813.0,1162.0
1168.0,1127.0,45495.0,103584.0,61.0,55.0,3211.0,935.0,1684.0,1250.0
910.0,1128.0,48102.0,105759.0,64.0,56.0,3661.0,842.0,1579.0,1159.0
940.0,1144.0,35319.0,102325.0,73.0,59.0,3900.0,959.0,1614.0,1227.0
977.0,1128.0,43089.0,106597.0,71.0,53.0,4688.0,942.0,1925.0,1232.0
984.0,1196.0,38616.0,107808.0,72.0,54.0,3303.0,868.0,1777.0,1222.0
1002.0,1169.0,34451.0,109103.0,72.0,58.0,4833.0,936.0,1533.0,1262.0
888.0,1243.0,30636.0,111052.0,91.0,57.0,4375.0,894.0,2058.0,1304.0
928.0,1245.0,27718.0,110148.0,66.0,55.0,3711.0,913.0,1653.0,1308.0
1121.0,1106.0,44412.0,106039.0,72.0,55.0,4293.0,986.0,1732.0,1313.0
1010.0,1196.0,36999.0,113545.0,80.0,60.0,4405.0,868.0,1435.0,1296.0
800.0,1220.0,23657.0,109349.0,54.0,55.0,3524.0,939.0,1873.0,1265.0
957.0,1211.0,35227.0,108806.0,76.0,56.0,4039.0,944.0,1990.0,1455.0
960.0,1198.0,34035.0,107987.0,74.0,57.0,3792.0,982.0,1472.0,1409.0
865.0,1275.0,34933.0,108410.0,65.0,58.0,4118.0,978.0,1530.0,1503.0
899.0,1168.0,36352.0,106403.0,87.0,56.0,3558.0,945.0,1861.0,1333.0
628.0,1181.0,33462.0,115200.0,83.0,56.0,4281.0,938.0,1816.0,1477.0
691.0,1172.0,28263.0,111240.0,48.0,58.0,3173.0,932.0,2030.0,1366.0
865.0,1194.0,29320.0,120760.0,74.0,54.0,4254.0,970.0,1641.0,1375.0
756.0,1205.0,26332.0,120981.0,87.0,56.0,3326.0,944.0,1816.0,1484.0
971.0,1289.0,27918.0,106473.0,93.0,58.0,3737.0,957.0,1385.0,1384.0
811.0,1205.0,24846.0,110186.0,87.0,58.0,3982.0,927.0,1829.0,1533.0
818.0,1173.0,33742.0,107695.0,77.0,56.0,3588.0,1026.0,1844.0,1517.0
648.0,1222.0,28724.0,111252.0,75.0,61.0,4075.0,958.0,1497.0,1586.0
697.0,1210.0,25903.0,110801.0,62.0,58.0,4113.0,1010.0,1601.0,1432.0
746.0,1230.0,29137.0,109486.0,80.0,60.0,4443.0,988.0,1385.0,1554.0
786.0,1195.0,22554.0,117949.0,66.0,60.0,3851.0,972.0,1557.0,1537.0
728.0,1247.0,23971.0,116492.0,79.0,57.0,3874.0,988.0,1875.0,1526.0
786.0,1240.0,32858.0,115771.0,82.0,61.0,3881.0,952.0,1748.0,1455.0
618.0,1143.0,28598.0,115238.0,74.0,62.0,3763.0,984.0,1764.0,1679.0
664.0,1172.0,23428.0,110703.0,71.0,62.0,4153.0,996.0,1586.0,1637.0
663.0,1241.0,19718.0,119682.0,80.0,66.0,4175.0,1003.0,1603.0,1672.0
591.0,1254.0,23282.0,115982.0,89.0,57.0,4508.0,1008.0,1725.0,1712.0
704.0,1197.0,22997.0,112828.0,79.0,64.0,4266.0,1018.0,1407.0,1656.0
634.0,1229.0,23969.0,113670.0,71.0,59.0,4115.0,974.0,1632.0,1709.0
479.0,1211.0,22293.0,118042.0,77.0,62.0,4208.0,1015.0,1966.0,1722.0
660.0,1251.0,16803.0,121198.0,58.0,64.0,3666.0,1081.0,1552.0,1693.0
687.0,1203.0,21886.0,114355.0,70.0,65.0,4197.0,1016.0,1498.0,1718.0
593.0,1219.0,18552.0,109443.0,92.0,64.0,3565.0,1062.0,1564.0,1725.0
582.0,1235.0,24028.0,115647.0,75.0,60.0,3465.0,973.0,1543.0,1829.0
626.0,1283.0,20274.0,112526.0,68.0,65.0,4568.0,991.0,1604.0,1761.0
639.0,1245.0,20831.0,117735.0,84.0,66.0,4152.0,1119.0,1601.0,1943.0
628.0,1240.0,21589.0,111043.0,91.0,62.0,3696.0,1053.0,1649.0,1920.0
604.0,1335.0,21335.0,112936.0,67.0,64.0,4786.0,1043.0,1775.0,1782.0
696.0,1297.0,19184.0,114395.0,77.0,66.0,4485.0,1055.0,1705.0,1885.0
511.0,1298.0,15765.0,115351.0,91.0,61.0,4011.0,1103.0,2202.0,1888.0
726.0,1319.0,19216.0,119038.0,73.0,64.0,4682.0,1053.0,1679.0,1789.0
646.0,1290.0,20000.0,117256.0,52.0,64.0,3454.0,1109.0,1380.0,1965.0
606.0,1228.0,18289.0,117065.0,75.0,65.0,3323.0,1070.0,1546.0,1861.0
611.0,1240.0,18957.0,111337.0,82.0,64.0,4064.0,1080.0,1893.0,1949.0
690.0,1322.0,14919.0,118101.0,70.0,63.0,4720.0,1079.0,1589.0,1888.0
647.0,1248.0,20801.0,116750.0,93.0,68.0,4177.0,1136.0,1745.0,1977.0
619.0,1276.0,17674.0,122125.0,72.0,70.0,4454.0,1109.0,1738.0,1876.0
760.0,1292.0,17155.0,119211.0,86.0,67.0,4062.0,1053.0,1890.0,1933.0
498.0,1259.0,14542.0,116155.0,81.0,62.0,3570.0,1103.0,1556.0,2045.0
903.0,1289.0,19174.0,113309.0,68.0,68.0,3652.0,1121.0,1912.0,1886.0
779.0,1296.0,16232.0,111159.0,74.0,69.0,3655.0,1109.0,1885.0,1985.0
709.0,1194.0,19396.0,120054.0,82.0,61.0,4129.0,1103.0,2018.0,2049.0
879.0,1188.0,16684.0,119322.0,84.0,65.0,4076.0,1147.0,1901.0,2113.0
870.0,1276.0,16739.0,115031.0,95.0,66.0,4007.0,1143.0,1909.0,2049.0
843.0,1213.0,19091.0,119560.0,93.0,67.0,3146.0,1103.0,1825.0,2089.0
890.0,1233.0,18593.0,113681.0,85.0,67.0,4417.0,1158.0,1540.0,2085.0
777.0,1241.0,16738.0,110881.0,79.0,66.0,4491.0,1105.0,1716.0,2125.0
886.0,1249.0,19935.0,120001.0,77.0,66.0,3722.0,1134.0,1619.0,1957.0
941.0,1332.0,15625.0,121295.0,89.0,65.0,3642.0,1151.0,1685.0,2087.0
1032.0,1252.0,21014.0,113293.0,90.0,66.0,4168.0,1087.0,1531.0,2148.0
1113.0,1261.0,21378.0,120067.0,85.0,73.0,4348.0,1146.0,1908.0,2199.0
943.0,1357.0,22065.0,113682.0,80.0,70.0,3953.0,1247.0,1734.0,2264.0
1084.0,1240.0,19745.0,116096.0,70.0,72.0,3428.0,1224.0,1662.0,2124.0
1208.0,1307.0,20988.0,116719.0,85.0,70.0,3745.0,1118.0,1554.0,2191.0
1237.0,1314.0,20410.0,122432.0,60.0,67.0,4217.0,1159.0,1879.0,2263.0
995.0,1269.0,19841.0,116428.0,95.0,70.0,4452.0,1106.0,1947.0,2263.0
1371.0,1259.0,18016.0,116778.0,90.0,73.0,4052.0,1215.0,1805.0,2019.0
1158.0,1261.0,25110.0,114270.0,93.0,73.0,3953.0,1166.0,1459.0,2175.0
1147.0,1311.0,25031.0,114172.0,109.0,72.0,4772.0,1182.0,1631.0,2134.0
1335.0,1294.0,25458.0,112610.0,74.0,69.0,3889.0,1181.0,1494.0,2345.0
1333.0,1264.0,21450.0,125777.0,86.0,72.0,4351.0,1148.0,1651.0,2264.0
1474.0,1350.0,29080.0,119748.0,98.0,73.0,3564.0,1204.0,1827.0,2235.0
1533.0,1258.0,23978.0,115929.0,87.0,74.0,4487.0,1218.0,1839.0,2254.0
1520.0,1301.0,23284.0,112217.0,89.0,71.0,4896.0,1211.0,1505.0,2211.0
1441.0,1240.0,26244.0,114841.0,71.0,76.0,4551.0,1174.0,1523.0,2320.0
1442.0,1300.0,21966.0,112789.0,77.0,73.0,3953.0,1131.0,1865.0,2349.0
1496.0,1256.0,22424.0,122762.0,61.0,74.0,3789.0,1224.0,1601.0,2457.0
1593.0,1284.0,36715.0,110558.0,64.0,73.0,4677.0,1198.0,1811.0,2202.0
1493.0,1323.0,26984.0,110011.0,74.0,72.0,4225.0,1166.0,1813.0,2304.0
1836.0,1317.0,22326.0,116719.0,77.0,73.0,3901.0,1231.0,1525.0,2412.0
1506.0,1357.0,34816.0,114773.0,80.0,75.0,4156.0,1244.0,1680.0,2357.0
2012.0,1235.0,30410.0,116895.0,73.0,74.0,4803.0,1277.0,1690.0,2391.0
1816.0,1356.0,32270.0,113964.0,93.0,76.0,4101.0,1280.0,1633.0,2430.0
2151.0,1195.0,29796.0,115168.0,85.0,72.0,4098.0,1229.0,1696.0,2539.0
1837.0,1266.0,34394.0,109533.0,91.0,73.0,3577.0,1227.0,1409.0,2491.0
1929.0,1307.0,30349.0,114936.0,91.0,67.0,3258.0,1202.0,1577.0,2562.0
2379.0,1318.0,33296.0,124146.0,87.0,69.0,3771.0,1265.0,1532.0,2400.0
2206.0,1266.0,36834.0,115798.0,71.0,74.0,4706.0,1269.0,1726.0,2610.0
2375.0,1319.0,46505.0,117537.0,74.0,76.0,3714.0,1269.0,1848.0,2514.0
2201.0,1332.0,42701.0,115244.0,84.0,79.0,4273.0,1287.0,1505.0,2511.0
2219.0,1244.0,33295.0,114668.0,83.0,78.0,3782.0,1280.0,1360.0,2580.0
2078.0,1374.0,42141.0,118474.0,84.0,79.0,3197.0,1268.0,1576.0,2559.0
2518.0,1322.0,43434.0,113101.0,88.0,75.0,3842.0,1223.0,1745.0,2589.0
3245.0,1275.0,37395.0,111076.0,87.0,77.0,3797.0,1290.0,1780.0,2483.0
2506.0,1292.0,35088.0,111180.0,101.0,77.0,4012.0,1272.0,1445.0,2515.0
2369.0,1326.0,41939.0,114024.0,83.0,72.0,3825.0,1224.0,1530.0,2597.0
2662.0,1333.0,32224.0,118619.0,101.0,73.0,4750.0,1323.0,1480.0,2669.0
2007.0,1344.0,42357.0,113819.0,86.0,76.0,4503.0,1289.0,1605.0,2583.0
3102.0,1365.0,41918.0,108154.0,81.0,78.0,4675.0,1295.0,1760.0,2722.0
2828.0,1332.0,36113.0,120698.0,80.0,78.0,4148.0,1284.0,1581.0,2686.0
2721.0,1228.0,49207.0,121118.0,97.0,78.0,3395.0,1289.0,1541.0,2608.0
3763.0,1334.0,38335.0,110801.0,71.0,83.0,3279.0,1304.0,1616.0,2551.0
3212.0,1365.0,51197.0,110880.0,106.0,81.0,3954.0,1270.0,1645.0,2623.0
2809.0,1287.0,46166.0,116228.0,83.0,79.0,3699.0,1343.0,1621.0,2642.0
3951.0,1350.0,46896.0,120204.0,85.0,79.0,4022.0,1263.0,1537.0,2779.0
4252.0,1343.0,60275.0,112546.0,97.0,77.0,3932.0,1245.0,1649.0,2623.0
4232.0,1330.0,50169.0,121736.0,97.0,75.0,3794.0,1329.0,1692.0,2645.0
3724.0,1316.0,48097.0,112982.0,104.0,77.0,3879.0,1399.0,1304.0,2767.0
3950.0,1329.0,61324.0,117561.0,117.0,85.0,3733.0,1319.0,1481.0,2834.0
3372.0,1293.0,57754.0,117687.0,80.0,79.0,3207.0,1355.0,1572.0,2846.0
4217.0,1289.0,50660.0,111350.0,100.0,79.0,4340.0,1283.0,1631.0,2691.0
3870.0,1287.0,65091.0,111638.0,88.0,83.0,3897.0,1358.0,1543.0,2751.0
4275.0,1324.0,50850.0,112035.0,92.0,78.0,3266.0,1386.0,1600.0,2953.0
